"description"	"X100"	"X200"	"X300"	"X400"	"X500"	"X600"	"X700"	"X800"	"X900"	"X1000"	"X1100"	"X1200"	"X1300"	"X1400"	"X1500"	"X1600"	"X1700"	"X1800"	"X1900"	"X2000"
"1"	"Activated NOTCH1 Transmits Signal to the Nucleus"	0.105939013624056	0.154965652281328	1	0.140018154635333	0.0624759079726503	0.0805994430302866	0.137858914285114	0.176324159501727	1	1	0.200915309612698	1	1	1	1	1	1	1	0.0775827480239641	1
"2"	"Activation of gene expression by SREBF (SREBP)"	1	1	1	1	1	1	1	0.176324159501727	0.107214508884303	0.149264871498996	1	1	1	1	0.131687999593234	0.18749034929502	0.213831443125441	1	0.196618613438277	1
"3"	"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.216729380603891	1
"4"	"Activation of Matrix Metalloproteinases"	1	0.160962999362492	1	1	1	1	1	1	1	0.154462893026825	1	1	1	1	0.200257016090133	1	1	1	1	1
"5"	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	1	1	1	1	1	1	1	1	1	1	1	0.111107255232852	0.150598462898508	0.0951289486442806	0.124071733312615	0.167970865264635	0.198821243508222	1	0.181343250165729	0.150598462898508
"6"	"alpha-linolenic acid (ALA) metabolism"	1	1	1	1	1	1	1	0.136856953470457	0.113098956138745	0.149264871498996	0.200915309612698	1	1	1	1	1	0.183560438036061	0.0781592621543591	0.0688378838949038	1
"7"	"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"	1	1	1	1	1	1	1	0.136856953470457	0.113098956138745	0.149264871498996	0.200915309612698	1	1	1	1	1	0.183560438036061	0.0781592621543591	0.0688378838949038	1
"8"	"Anchoring fibril formation"	0.0597323009799382	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"9"	"Antigen processing-Cross presentation"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"10"	"APC/C:Cdc20 mediated degradation of Cyclin B"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196618613438277	1
"11"	"Assembly of collagen fibrils and other multimeric structures"	0.0824485797895866	0.000148714833732741	0.0019723498406437	0.00929453599364355	0.0335422630551476	0.0201085210524387	0.0580180255403675	0.113896955223765	0.039856611604142	0.0809264202533325	0.137201276547597	0.0809637425557718	0.118475914296687	0.0926647120097148	0.0654895990166185	0.0929278336028811	0.126647392283074	0.184249944644852	0.138590786789391	0.118475914296687
"12"	"A tetrasaccharide linker sequence is required for GAG synthesis"	0.0840052745731614	1	1	0.0915173868648183	0.0365266944009121	0.0573926647624729	0.109043022760633	0.158400887118665	0.00035529978639234	0.000991894985108867	0.00231423284993793	0.00478846194517507	0.00841565973995369	0.0140778553945003	0.0225333649019225	0.0227751289941391	0.0352163519871733	0.0507043125261441	0.033245459877636	0.00841565973995369
"13"	"Basigin interactions"	1	1	1	1	0.148847961266199	0.0599281518819604	0.117202432227827	0.172553131462591	0.0542386502690563	0.0850735125158326	0.137201276547597	0.15277777432372	0.196842024426063	1	1	1	1	1	1	0.196842024426063
"14"	"Binding and Uptake of Ligands by Scavenger Receptors"	0.0000378359753222241	0.000940163045259174	0.000228541318368045	0.000653761927464195	0.00296779084546434	0.00139100237773471	0.0049613264144236	0.00971458968713748	0.0125402254995633	0.0237875637665818	0.0505051815572711	0.0611360358972641	0.0393411699739045	0.0552630585936863	0.0691608997839795	0.0440451112327159	0.0596172663313432	0.0781592621543591	0.0789266670085929	0.0393411699739045
"15"	"Ca2+ pathway"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.125861012571939	1
"16"	"Cargo recognition for clathrin-mediated endocytosis"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196618613438277	1
"17"	"Cell death signalling via NRAGE, NRIF and NADE"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"18"	"Cholesterol biosynthesis"	1	0.0838379220777048	1	0.0845513826927353	0.123822465753388	0.0490125807261815	0.0206146094310156	0.0075322024751517	0.00150080649607172	0.0034193541382986	0.00668639752810197	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0736583332821901	0.0649125430924655	0.0161971505383502
"19"	"Chondroitin sulfate biosynthesis"	1	1	0.202906172773335	0.0650483717015071	0.0275490146832809	0.0391573381281165	0.067506029199848	0.129364538461503	0.0228563971566421	0.0381223715492472	0.0678520696631213	0.074737323305846	0.10872732636756	0.120666520209142	0.136673582062821	0.188134441868139	0.213831443125441	1	0.178240866452036	0.10872732636756
"20"	"Chondroitin sulfate/dermatan sulfate metabolism"	0.178644895755639	1	1	0.0648411994759608	0.0350342205771916	0.0582269794631733	0.121743214491429	0.176324159501727	0.00247883204567558	0.00700007614225887	0.0174956290026838	0.00963241945977806	0.0161971505383502	0.0285059692345104	0.0330807112340981	0.0493593196349051	0.0720598780924478	0.108627921503054	0.0976666836847803	0.0161971505383502
"21"	"Circadian Clock"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"22"	"Collagen biosynthesis and modifying enzymes"	0.0824485797895866	0.00967271687684253	0.0603690867178274	0.140487708182855	1	0.073660328128429	0.137277693031999	0.179846719495998	1	1	1	1	1	1	1	1	1	1	1	1
"23"	"Collagen chain trimerization"	0.0477690029293556	0.00123450038465707	0.0109214908171718	0.0415012205298887	0.0685293645729098	0.0462660772901768	0.0958230439168587	0.142337432563214	0.144984573312248	0.0990673598870165	0.157682200205892	0.0851071511951968	0.118475914296687	0.0822985525838117	0.110790161128017	0.152326711466258	0.187648357552885	0.124557770392852	0.11311975030819	0.118475914296687
"24"	"Collagen degradation"	0.0824485797895866	0.000166651870560796	0.0019723498406437	0.011276062403589	0.0350342205771916	0.00716772859764152	0.0206146094310156	0.0441720238384911	0.0196919998274388	0.0169677510343854	0.0433733809546302	0.0227234519614036	0.0393411699739045	0.0285059692345104	0.0312480375228539	0.0227751289941391	0.0352163519871733	0.0265367548818361	0.0244892126985365	0.0393411699739045
"25"	"Collagen formation"	0.116001405573834	0.00122728634568231	0.0146074963140067	0.0650483717015071	0.12610497431814	0.0498430186166134	0.117202432227827	0.176324159501727	0.125501042183379	0.123682368764495	0.200915309612698	0.167237577189237	1	0.179614680810672	0.156596704037345	1	1	1	0.21132245462267	1
"26"	"Common Pathway of Fibrin Clot Formation"	0.0824485797895866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"27"	"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"28"	"Constitutive Signaling by NOTCH1 HD Domain Mutants"	1	1	1	1	0.148847961266199	0.208400971436633	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"29"	"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"30"	"Constitutive Signaling by NOTCH1 PEST Domain Mutants"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.138590786789391	1
"31"	"CREB phosphorylation through the activation of CaMKII"	1	1	1	1	1	1	1	1	1	1	1	0.0905283944517138	0.118475914296687	0.146008891709201	0.160769099621465	0.207532978220416	1	1	0.196618613438277	0.118475914296687
"32"	"CREB phosphorylation through the activation of Ras"	1	1	1	1	1	1	1	1	1	1	1	0.179165444729129	1	1	1	1	1	1	1	1
"33"	"Cyclin D associated events in G1"	1	1	1	1	1	1	1	1	0.0778395247783143	0.0404891679865114	0.0727089820683874	0.0851071511951968	0.118475914296687	0.150595571628975	0.178209258790731	1	1	1	0.0244892126985365	0.118475914296687
"34"	"Deactivation of the beta-catenin transactivating complex"	1	1	0.0399988774888198	0.0283256651646258	0.0593087277898259	0.0805994430302866	0.067506029199848	0.0375093791130773	0.039856611604142	0.0237875637665818	0.0505051815572711	0.0611360358972641	0.0923317111210297	0.113657068043368	0.0691608997839795	0.094175598069496	0.0596172663313432	0.0543404402526636	0.00315556842310283	0.0923317111210297
"35"	"Defective B3GALT6 causes EDSP2 and SEMDJL1"	1	1	1	0.181134767631889	0.0624759079726503	0.0805994430302866	0.135905709921752	0.176324159501727	0.00151268801806666	0.0034193541382986	0.00668639752810197	0.00963241945977806	0.0161971505383502	0.0268919656569007	0.0312480375228539	0.0440451112327159	0.0596172663313432	0.0736583332821901	0.0649125430924655	0.0161971505383502
